"cleaned_text","mentions_wireless","mentions_wired","sentiment","text_length","label"
"thank you mentioning hair dent thing was wondering if could possibly find ones that wouldnt do that but guess its more of thing you just gotta accept tried on someones headphones they make my hair flat pretty easily separates strands honestly hate that lot already have bangs so it makes my head look more pressed down also uncomfortable with open long hair glasses theres lot of weight just one of things getting way go headphones but ill see",0,1,"negative",443,0
"headphones has better sound experiance but my ears get hot uncomfortable fast my home weather unfortunately",0,1,"positive",107,1
"headphones far better than earphones because",0,1,"positive",44,1
"my opinion much prefer headphones especially if they hve folding feature because im school they not problem",0,1,"negative",107,0
"then when you save some money go minimun dollar headphones best experience",0,1,"positive",74,1
"some recommendation headphones",0,1,"positive",30,1
"my earbuds have excellent sound quality much better bass than my headphones but do prefer using my headphones while home watch movies on",1,1,"positive",136,1
"earbuds just hurt my ear lol",1,0,"negative",28,0
"use razor blacksharks while gaming which supposed be one of most comfortable headphones out there",0,1,"positive",97,1
"which one good online video lectures surrounding noise cancelling effecti used earbuds past dont have quite good experience with them when it comes ambient chaotic noisei want best option study purposeis headphones recommended",1,1,"positive",226,1
"prefer headset because like old school style like higher quality sound",0,0,"positive",70,1
"assume you go earbuds one falls into well",1,0,"negative",41,0
"best one use house speakers",0,0,"positive",27,1
"which better on plane with jet engine noise",0,0,"positive",43,1
"like how headphones look but like earbuds better",1,1,"positive",48,1
"so that much better audio convenience factor of earbuds outshines",1,0,"positive",65,1
"sony whchn soundcore space one ended up returning them all because none of them seemed yo even come close terms of quality of audiooutput was shook my core but as it sounds think thats truth",0,0,"negative",190,0
"go headphones due good sounding buds good portability but sound",1,1,"positive",63,1
"own pair of both usually lean towards my earbuds since work days week theyre more convenient my pocket can used one earbud time listen others",1,0,"positive",141,1
"true love headphones",0,1,"positive",20,1
"think its good thing have both used earbuds quite long time do use them lot",1,0,"positive",75,1
"better sound dont collect that smelly liquid from my ear",0,0,"positive",56,1
"really dont like that people not noticing me earbuds",1,0,"positive",52,1
"me prefer headphones overall like use my bose qc ultra headphones",0,1,"positive",65,1
"but with that being said when im on go nothing beats convince ease of use of ear buds like my personal favorite of earbuds air pods pro",1,0,"positive",135,1
"earbuds because sounds good enough me its just way more convenient cheaper",1,0,"positive",74,1
"like earphones more compactness invisibility fact that they can sound really good despite of such small size headphones never had premium ones always had cheap ones so have no force pulling towards them yet",0,1,"positive",206,1
"overear headphones sounds better then ear buds on ear headphones",1,1,"positive",64,1
"like headphones winter since im canada",0,1,"positive",38,1
"headphones great commuting earbudsairpods good when youre around house you still wanna be aware of it surroundings youre work but me",1,1,"positive",132,1
"headphones sound lot more full bassy sure but my jabra elite t models still sound great switched them sneak music my job long hair anyway dont work there anymore so want use headphones have buds be discreet also perfect gaming good enough use whole immersive game sound shutting speakers room off my teen years were great dont game anymore but it was great experience",1,1,"positive",367,1
"extra dongles absolute nono protability using it on laptop you lose usb port using them on phones",0,0,"negative",97,0
"id like it if there existed set wireless earbuds that work practicing guitar",1,0,"positive",76,1
"like earbuds as they portable can fit my small bag my pockets plus doesnt press my earrings hahaha",1,0,"positive",98,1
"tho also like headphones since its easy put on stay on place not worrying itll pop out of my ears since its visible people will not talk me randomly lol",0,1,"positive",152,1
"like headphones better you can js put them around your neck they sound better",0,1,"positive",77,1
"it doesnt hurt wear them",0,0,"negative",24,0
"if you ues head pones nice dent",0,0,"positive",31,1
"earbuds feel too close eardrum",1,0,"negative",30,0
"if headphones feel more comfortable",0,1,"positive",35,1
"which better longevity",0,0,"positive",22,1
"as person who hates when ppl talking me choose headphones more its more better plus sometimes u need block out those annoying ppl if u get what mean if ur introvert someone who hates when ppl talk interact then its different",0,1,"negative",224,0
"would you say headphones earbuds have better anc generally",1,1,"positive",58,1
"social interaction community communication skills public safety wearing one public better if you have listen podcasts",0,0,"positive",117,1
"headphones better they got more bass look cooler on you",0,1,"positive",55,1
"im using noble earbuds sound crispy its price range but definitely miss bass while trying enjoy music home",1,0,"positive",106,1
"im confused though should go best all rounder sony xm unique skullcandy crusher anc",0,0,"positive",83,1
"nowday has lots of comfy wearing earbud best sound quality too more prefer earbud",0,0,"positive",81,1
"headphones obviously better earbuds only account portability if you love music get headphones",1,1,"positive",93,1
"like headphone more because dont need put inside ear",0,1,"positive",52,1
"me walking biking with earbuds annoying due rumble from bone conduction use them when will be sitting old apple buds didnt have this effect because they dont actually plug ur ear mixing music enjoy open back headphones walking biking like using wireless headphones which wont produce that irritating rumble lower frequencies",1,1,"positive",324,1
"really appreciate this vid big thumbs up from south africa cape town but like you said it comes down buyers use oc brand id like if you can make vid on portable speakers especially jbl",0,0,"positive",184,1
"earbuds both best options category",1,0,"positive",34,1
"best video",0,0,"positive",10,1
"surely headphones have much better sound by miles sizes of them compared surely can hold much bigger better speakers them",0,1,"positive",121,1
"headphones better earphones",0,1,"positive",27,1
"like your ford shirt",0,0,"positive",20,1
"im trying get good noise canceling headphones earbuds earbuds would work better me life style wise but headphones seem be better canceling unwanted noise",1,1,"positive",153,1
"headphones sounds better",0,1,"positive",24,1
"if you lose things easily",0,0,"negative",25,0
"if you hear beoplay ex they sound better then regular headphones small buds with price of headphone did you try these",1,1,"positive",117,1
"prefer headphones pure audio enjoyment use earbuds summer when walking since you eliminate sweat factor switch headphones winter warmth they act as ear muffs keep your ears warm cold",1,1,"positive",182,1
"nicely done some good reasoning",0,0,"positive",31,1
"what do you recommend long hours of working from home",0,0,"positive",53,1
"depends on what you need them like cars",0,0,"positive",39,1
"use both have pretty good collection prefer sound of headphones home but carry earbuds on go",1,1,"positive",92,1
"which better difficult question",0,0,"positive",31,1
"earbudsheadphones with dongle wired way go gaming never waste your money on bluetooth ones whatever brand gaming",1,1,"negative",112,0
"like them both earbuds earphones just love great sound of music",1,0,"positive",63,1
"me personally like wireless earbuds mainly because of portability",1,0,"positive",65,1
"have pair of earbuds pair of headphones keep headphones because like immersive sound that they give me that bluetooth earpiece just cannot match also",1,1,"positive",149,1
"like fact that they deterrent from people talking me just dont want be bothered some reason when youre wearing earbuds people still think they can talk you even when you have both on theres place both enjoy both",1,0,"positive",211,1
"great video",0,0,"positive",11,1
"great video discussion keith",0,0,"positive",28,1
"but when it comes what really sounds better",0,0,"positive",43,1
"me theres reasons why prefer use ear buds reasons why prefer use headphones ear buds just way more portable that can carry them my coin pocket contrast headphones which carry my back back ear buds also way more comfortable than headphones my ears dont get hot my head doesnt feel any clamp force like get from headphone now that being said",1,1,"positive",339,1
"earbuds imo pretty much joke compared anc on my best set of headphones my sonys really protect me from noise pollution world where as with my best ear buds find myself wondering",1,1,"positive",177,1
"working out etc but tend reach my earbuds more simply cuz theyre smaller usually on me nearby theyre less of pain ass too lol",1,0,"negative",125,0
"what best sounding earbuds with anc under if you could only but one",1,0,"positive",67,1
"sound quality great also quality of mics superior conference calls having say that",0,0,"positive",82,1
"recently acquired soundcore q add senn tw buds really surprised audio on q bit better than senns clear winner over soundcore lp buds which can be harsh however cant wear headphones more than h max so still default buds buds travelling sure",1,1,"positive",239,1
"ear buds very convenient travel etc",1,0,"positive",35,1
"sony link buds one of my favorite earbuds have almost every earbud made different strokes use them almost as much as my airpod pro speak chat good my marriage",1,0,"positive",158,1
"think earbuds perfect headphones no go fo me",1,1,"positive",44,1
"like you said",0,0,"positive",13,1
"find with all ear buds none stay steady my ears when on moveperfect when your sitting down but outside that problems thats why use proper headphonesand another reason why like proper headphones you can push them much harderkeep up good work my man",1,1,"positive",247,1
"use be headphone guy but earbuds more convenient me",1,1,"positive",51,1
"really like this discussion video its very much need those wondering ear buds have convivence",1,0,"positive",93,1
"own like pairs of earbuds pair of headphones ive made my choice",1,1,"positive",63,1
"ive got few pairs of cans buds im not sure that like one over other",1,0,"positive",67,1
"sometimes im worried about my hair like you mentioned its hot day so go with buds sometimes my ears feel bit itchy from budtips so throw on cans",1,0,"positive",144,1
"me its headphones when pc home good gaming old school marshall monitors music through pc phone receiver also with walking outdoors public transport work soundcores stil need hear surrounding but prefer headphones more details stronger driffers more immersive feeling",0,1,"positive",266,1
"easy earbuds convenience headphones sound open back wires headphones best sound there some earbuds that beat some headphones but general",1,1,"positive",136,1
"mainly use my headphones during summer fall season",0,1,"negative",50,0
"id be terrified that my headphones would be damaged by water if took them outside",0,1,"negative",81,0
"enjoy both but",0,0,"positive",14,1
"thanksi like both but primarily use earbuds size blessings on your day",1,0,"positive",70,1
"nice thing about this question that every answer right answer its what works best you terms of sound preference",0,0,"positive",111,1
"also wired wireless better question that gamesky always talks about which form factor which presentation wired wireless suites you better find that having few suit different scenarios best option",1,1,"positive",195,1
"great watch as per",0,0,"positive",18,1
"personally use both all time think itll always be situational like lotta comments noted as you explained very well video",0,0,"positive",120,1
"then when im just home hitting gym go with earbuds coz can have one my ear still be talking someone home something likewise when im gaming got corsair with dongle",1,0,"positive",162,1
"think thats awesome part about earphones market that we pretty much spoilt choice options damn near every preference",0,0,"positive",116,1
"keep up great coverage as always",0,0,"positive",32,1
"headphone mostly when youre fixed your position like front desktop",0,1,"positive",66,1
"earbuds will never be better than headphones because of size difference",1,1,"positive",71,1
"mean as long as we talking about good ones personal preference pair of either earbuds headphones dont think there better use both even with say earbuds there typical types forgot what term but have one pair of soundpeats that earbuds but not ear trueair s now that looked it up sometimes just dont like something plugging up my ear",1,1,"positive",331,1
"this like saying like cream orange soda better like both cant really say one what like over other",0,0,"positive",97,1
"you lay out positives negatives of both very well like both myself but have found myself using earbuds way more these days think its just pop them your ears move around convenience they afford that being said",1,0,"positive",208,1
"headphones certainly better music generally",0,1,"positive",43,1
"thanks video like this type of discussion videos do not think there right wrong answer here",0,0,"positive",91,1
"am fortunate enough position have fullsized wired open closedback headphones",0,1,"negative",76,0
"so pick one that better serve my needs",0,0,"positive",38,1
"dont think their good answer",0,0,"positive",28,1
